id,name,trainer,owner,breeder,sire,broodmare
2017106309,スズカキングボス,田中剛 (美浦),永井啓弍,信岡牧場,グランプリボス,オペラハウス
2017102519,ケイツーポンド,加藤誠一 (地方),楠本勝美,中田英樹,モンテロッソ,ネオユニヴァース
2017103221,マインヒロイン,山下定文 (愛知),峰哲馬,荒谷輝和,タイセイレジェンド,スクリーンヒーロー
2017104949,レジイナアン,斎藤誠 (美浦),ＴＵＲＦレーシング,社台ファーム,ダイワメジャー,シンボリクリスエス
2017104128,バーンパッション,中川公成 (美浦),岡田牧雄,真歌田中牧場,エイシンフラッシュ,ダイワメジャー
2017104404,プロンタン,小久保智 (浦和),島川隆哉,エスティファーム,トーセンジョーダン,サンデーサイレンス
2017100815,デルマシルバー,金田一昌 (金沢),浅沼廣幸,ファニーヒルファーム,キャプテントゥーレ,ミラクルアドマイヤ
2017100977,ストームファルコン,水野貴広 (美浦),Ｋ．Ｃ．タン,門別敏朗,スマートファルコン,フジキセキ
2017104273,キャストロペトラ,山本学 (船橋),手嶋康雄,田湯牧場,ゼンノロブロイ,トワイニング
2017100722,ドバウィビクトリー,工藤裕孝 (岩手),後藤孝子,長谷部牧場,モンテロッソ,アドマイヤムーン
2017104983,ブラッククリスマス,佐藤茂 (金沢),安瀬裕一,社台ファーム,ノヴェリスト,フレンチデピュティ
2017100801,ゼンダンラビット,飯田良弘 (兵庫),渡邊善男,広中稔,キングズベスト,ジョリーズヘイロー
2017102051,フクジュ,森山英雄 (笠松),中村勝彦,松浦牧場,ロージズインメイ,フォーティナイナー
2017102804,ブロウンアウェイ,渡辺貴光 (地方),（株）レックス,王蔵牧場,トビーズコーナー,フサイチコンコルド
2017100847,サノレーヌ,川島豊 (浦和),（株）ファーストビ,豊洋牧場,サウスヴィグラス,フサイチコンコルド
2017100049,キエンセラ,堀井雅広 (美浦),藤田在子,天羽禮治,マツリダゴッホ,シンボリクリスエス
2017104947,サトノアレックス,古賀慎明 (美浦),サトミホースカンパニー,社台ファーム,ヘニーヒューズ,フジキセキ
2017103607,ミヤビマドンナ,中舘英二 (美浦),村上義勝,静内白井牧場,キズナ,キングカメハメハ
2017104958,シャイニングブルー,碇清次郎 (兵庫),嶋田賢,社台ファーム,スクリーンヒーロー,Dixieland Band
2017106729,ハイテイブルース,村上頼章 (大井),中地賢次郎,川上牧場,エスケンデレヤ,サンデーサイレンス
2017102071,ジュンハルト,荒山勝徳 (地方),河合純二,マリオステーブル,スウェプトオーヴァーボード,ホワイトマズル
2017103058,ファーステストクー,米川伸也 (北海道),荒井城志,中村雅明,グラスワンダー,Sinndar
2017101945,マイネルエンカント,和田勇介 (美浦),サラブレッドクラブ・ラフィアン,ビッグレッドファーム,ロージズインメイ,アグネスタキオン
2017101568,リョウランハート,菅原勲 (岩手),佐藤啓子,高瀬敦,スターリングローズ,バブルガムフェロー
2017103863,トウショウガルーダ,土田稔 (美浦),トウショウ産業,トウショウ産業株式会社トウショウ牧場,アンライバルド,デザートキング
2017102130,ブラウンアイズ,桜木英喜 (大井),村田裕子,村上進治,タイムパラドックス,アジュディケーティング
2017100842,ペイシャティフォン,高橋義博 (美浦),北所直人,宝寄山拓樹,ベルシャザール,マンハッタンカフェ
2017101260,ショウナンマトイ,稲垣幸雄 (美浦),湘南,アラキファーム,シンボリクリスエス,タイキシャトル
2017105018,プラットフォーマー,新谷功一 (栗東),中村政夫,追分ファーム,ヘニーヒューズ,ディープインパクト
2017100570,メイショウコダチ,小牧毅 (地方),松本好雄,高柳隆男,ネオユニヴァース,ジェイドロバリー
2017109041,ミライヘノノゾミ,加藤和宏 (金沢),三島宣彦,諏訪牧場,ジャスタウェイ,シルバーチャーム
2017106465,カネショウイケメン,柘榴浩樹 (浦和),杉浦和也,山田昇史,モンテロッソ,オペラハウス
2017100067,ネオトゥルー,鈴木伸尋 (美浦),西田俊二,荒井ファーム,キンシャサノキセキ,Yes It's True
2017103158,オーケーゴールド,山中尊徳 (船橋),清宮義男,三好牧場,ゴールドアリュール,クロフネ
2017101537,デクスター,竹内正洋 (美浦),小林竜太郎,須崎牧場,エスケンデレヤ,サンデーサイレンス
2017101132,サフランフラワー,佐々木功 (船橋),海原聖一,高橋啓,サムライハート,ローエングリン
2017100947,ディレクトゥス,今津博之 (愛知),小林秀樹,目黒牧場,マツリダゴッホ,プリサイスエンド
2017100748,キョウエイリヴァル,小沢宏次 (地方),田中晴夫,春木ファーム,ジャングルポケット,ネオユニヴァース
2017103304,リベリアスハート,今井輝和 (川崎),ノルマンディーサラブレッドレーシング,岡田スタッド,フェノーメノ,フォーティナイナー
2017103776,マイネルエスペルト,水野貴史 (浦和),吉田勝利,千代田牧場,ジャスタウェイ,アグネスデジタル
2017106727,レハール,斉藤敏 (船橋),木村廣太,北光牧場,ロードアルティマ,サンデーサイレンス
2017101103,ウイルホースバイオ,奥平雅士 (美浦),バイオ,清水牧場,パイロ,ディープインパクト
2017104591,シゲルエリス,鈴木義久 (地方),乙訓史樹,ヤマイチ牧場,ベルシャザール,Salt Lake
2017105712,ジョウハリ,久保秀男 (川崎),八嶋長久,様似共栄牧場,シニスターミニスター,アドマイヤムーン
2017102939,スマイルオリオン,九日俊光 (佐賀),松野真一,高昭牧場,メイショウボーラー,ブライアンズタイム
2017102900,トモジャブルーノ,目迫大輔 (地方),吉冨朝美,高昭牧場,ヘニーヒューズ,アグネスタキオン
2017106552,プログラマー,南弘樹 (兵庫),島井新一郎,パカパカファーム,パイロ,ゴールドアリュール
2017103116,リネンターゲット,浜田一夫 (高崎),戸山光男,ヒダカファーム,ロードカナロア,ダンスインザダーク
2017105178,アストンクリントン,宗像義忠 (美浦),サンデーレーシング,ノーザンファーム,ハーツクライ,Danehill Dancer
2017104621,ソードライン,堀宣行 (美浦),金子真人ホールディングス,レイクヴィラファーム,ジャスタウェイ,ホワイトマズル
2017103573,ニシノアクシス,市村誠 (地方),西山茂行,桜井牧場,ロードカナロア,シンボリクリスエス
2017101230,ピースディオン,大竹正博 (美浦),久米田正平,秋田牧場,ロジユニヴァース,サニングデール
2017103044,タマサイ,尾関知人 (美浦),ミルファーム,中神牧場,トーセンホマレボシ,ダンスインザダーク
2017106236,アースブレイブ,宗像義忠 (美浦),松山増男,富田牧場,ゴールドシップ,フレンチデピュティ
2017100527,コンカルノー,野口孝 (浦和),前田敏文,シンボリ牧場,アンライバルド,A.P. Indy
2017101911,コスモレペティール,荒井朋弘 (大井),谷謙介,ビッグレッドファーム,アイルハヴアナザー,ネオユニヴァース
2017106535,コスモタイシ,南弘樹 (兵庫),橘勝年,大栄牧場,ゼンノロブロイ,タップダンスシチー
2017106221,タカンナ,柄崎孝 (美浦),三度屋,辻牧場,スピルバーグ,ラムタラ
2017106423,ビックハート,高橋道雄 (新潟),畠山朝子,宮内牧場,オルフェーヴル,チチカステナンゴ
2017106635,キューゴーパドック,根本康広 (美浦),福田光博,鹿戸和幸,トゥザワールド,フサイチコンコルド
2017105183,モンテマツリ,佐藤浩一 (岩手),Ｉレーシング（株）,ノーザンファーム,ハービンジャー,ディープインパクト
2017101382,キョウワファントム,矢野久美 (佐賀),坂本忠教,協和牧場,フェノーメノ,キングヘイロー
2017100009,テイエムクロホマレ,石栗龍彦 (美浦),竹園正繼,アイズスタッド,トーセンホマレボシ,ホワイトマズル
2017106591,キングズフォース,金成貴史 (美浦),ゴドルフィン,ダーレー・ジャパン・ファーム,キングズベスト,ディープスカイ
2017103617,サンダーブリッツ,久保田貴 (美浦),草間庸文,静内フジカワ牧場,キンシャサノキセキ,Kingmambo
2017104507,ニーズヘッグ,小野次郎 (美浦),ＹＧＧホースクラブ,笹川大晃牧場,ヘニーヒューズ,コロナドズクエスト
2017106572,ファイアランス,高橋祥泰 (美浦),ゴドルフィン,ダーレー・ジャパン・ファーム,パイロ,Unbridled's Song
2017101348,ラストマン,戸田博文 (美浦),堂守貴志,カミイスタット,ゴールドアリュール,トワイニング
2017102043,ファイヴレター,佐藤吉勝 (美浦),熊坂俊一,松浦牧場,タイムパラドックス,ネオユニヴァース
2017102141,オンリーワンボーイ,斎藤誠 (美浦),金山克己,ムラカミファーム,カレンブラックヒル,シンボリクリスエス
2017100035,アポロティアモ,岩戸孝樹 (美浦),アポロサラブレッドクラブ,天羽禮治,ヴィクトワールピサ,Ghostzapper
2017105985,ココラ,大和田成 (美浦),田中純一,杵臼牧場,ルーラーシップ,スペシャルウィーク
2017101539,シャーレ,武市康男 (美浦),ＧＥＴＮＥＸＴ,須崎牧場,ヘニーヒューズ,Malibu Moon
2017102147,トミケンレゲンダ,大和田成 (美浦),富樫アキ子,村上牧場,ローレルゲレイロ,フジキセキ
2017104545,トーアリュウジン,藤原辰雄 (美浦),高山ランド,トーア牧場,ウォーターリーグ,ボストンハーバー
2017100682,サイモンルグラン,勢司和浩 (美浦),澤田昭紀,中前牧場,キンシャサノキセキ,ストラヴィンスキー
2017104395,ジュネス,本間忍 (美浦),島川隆哉,エスティファーム,ロージズインメイ,ダンスインザダーク
2017105466,タイムマシン,手塚貴久 (美浦),馬場幸夫,ノーザンファーム,ロードカナロア,ネオユニヴァース
2017103189,クリノテルチャン,蛯名利弘 (美浦),栗本博晴,山田牧場,エスケンデレヤ,サクラバクシンオー
2017104595,ハシレコウマ,遠藤茂 (大井),峰哲馬,ヤマイチ牧場,アーネストリー,タヤスツヨシ
2016104061,コマノゼニト,伊藤圭三 (美浦),長谷川芳信,新井牧場,エイシンフラッシュ,ゼンノロブロイ
2016101710,アイムソーグレイト,藤原辰雄 (美浦),平井裕,岡部牧場,サウスヴィグラス,スペシャルウィーク
2015103534,フラベリフォーム,安達昭夫 (栗東),水上行雄,笠松牧場,ディープスカイ,ファルブラヴ
2015103047,リネンコジーン,南田美知 (美浦),戸山光男,江谷牧場,アドマイヤコジーン,パラダイスクリーク
2016106452,イサチルダイチ,竹内正洋 (美浦),小坂功,八島夕起子,アドマイヤムーン,アドマイヤドン
2015105172,アースビヨンド,伊藤大士 (美浦),前原敏行,チャンピオンズファーム,ロードカナロア,トニービン
2015101903,デルマカミカゼ,畑端省吾 (栗東),浅沼廣幸,ファニーヒルファーム,ストロングリターン,オンファイア
2014100256,バナナボート,萱野浩二 (美浦),田頭勇貴,坂元芳春,タイムパラドックス,ネオユニヴァース
2016101058,ネオレインボウ,小西一男 (美浦),西田俊二,小河豊水,アドマイヤムーン,マルゼンスキー
2015105923,ライトカラカゼ, (地方),星野壽市,千代田牧場,キングヘイロー,サッカーボーイ
2016102382,ヴェル,川西毅 (愛知),桑田牧場,桑田牧場,キンシャサノキセキ,キングカメハメハ
