raceid,horseid,arrival,bracket,horse_number,weight,jockey,time,diff,posision,last3f,odds,favorite,horse_weight,trainer,owner
202005021201,2017106309,1,7,13,56,内田博幸,1:19.4,,2-2,37.6,2.1,1,468(+6),[東]田中剛,永井啓弍
202005021201,2017102519,2,5,9,56,野中悠太,1:19.6,1.1/4,5-5,37.4,13.5,6,460(-6),[東]鈴木伸尋,楠本勝美
202005021201,2017103221,3,4,8,51,原優介,1:19.6,クビ,6-6,37.3,120.8,12,424(-4),[東]萱野浩二,峰哲馬
202005021201,2017104949,4,7,14,54,戸崎圭太,1:19.9,1.3/4,3-3,38.0,8.0,4,498(+10),[東]斎藤誠,ＴＵＲＦレーシング
202005021201,2017104128,5,2,4,56,石橋脩,1:20.1,3/4,15-15,36.1,5.6,2,468(+2),[東]中川公成,岡田牧雄
202005021201,2017104404,6,3,5,54,丸田恭介,1:20.1,ハナ,11-11,37.0,17.9,7,458(-4),[東]宗像義忠,島川隆哉
202005021201,2017100815,7,4,7,54,的場勇人,1:20.1,クビ,9-10,37.1,143.3,13,434(-8),[東]的場均,浅沼廣幸
202005021201,2017100977,8,3,6,56,武藤雅,1:20.2,クビ,4-3,38.2,7.8,3,480(+8),[東]水野貴広,Ｋ．Ｃ．タン
202005021201,2017104273,9,6,12,56,江田照男,1:20.4,1.1/2,7-7,37.8,8.5,5,462(-4),[東]粕谷昌央,手嶋康雄
202005021201,2017100722,10,1,1,54,菅原明良,1:20.7,2,16-16,36.2,43.6,9,464(0),[東]稲垣幸雄,後藤英成
202005021201,2017104983,11,8,16,56,田辺裕信,1:21.3,3.1/2,12-11,38.1,227.7,14,488(+4),[東]小島茂之,田原邦男
202005021201,2017100801,12,8,15,54,横山和生,1:21.5,1.1/4,9-7,38.9,73.6,11,444(+4),[東]藤原辰雄,渡邊善男
202005021201,2017102051,13,5,10,51,山田敬士,1:21.6,1/2,12-13,38.0,233.3,15,482(-24),[東]小桧山悟,中村勝彦
202005021201,2017102804,14,1,2,52,木幡育也,1:21.6,クビ,7-7,39.0,31.0,8,432(+4),[東]田島俊明,岡田牧雄
202005021201,2017100847,15,2,3,52,藤田菜七,1:22.2,3.1/2,1-1,40.5,44.2,10,442(+10),[東]尾形和幸,佐野信幸
202005021201,2017100049,16,6,11,56,宮崎北斗,1:26.1,大,12-14,42.2,574.9,16,436(-6),[東]堀井雅広,藤田在子
202005021202,2017104947,1,4,8,56,Ｍ．デム,1:38.3,,13-9,37.6,1.4,1,492(0),[東]古賀慎明,サトミホースカンパニー
202005021202,2017103607,2,2,4,54,坂井瑠星,1:38.9,3.1/2,2-2,39.2,36.4,6,452(+2),[東]中舘英二,村上義勝
202005021202,2017104958,3,8,16,56,田辺裕信,1:39.1,1.1/2,7-7,38.8,8.3,4,508(0),[東]国枝栄,嶋田賢
202005021202,2017106729,4,7,14,56,吉田豊,1:39.3,1.1/2,10-9,38.7,24.7,5,482(-2),[東]田島俊明,中地賢次郎
202005021202,2017102071,5,3,6,56,石川裕紀,1:39.3,ハナ,3-3,39.5,6.2,2,458(+4),[東]田中博康,河合純二
202005021202,2017103058,6,5,10,54,柴田大知,1:39.9,3.1/2,11-12,39.1,369.8,15,462(+2),[東]南田美知,荒井城志
202005021202,2017101945,7,1,1,56,和田竜二,1:39.9,クビ,4-4,40.0,40.5,8,450(+8),[東]和田勇介,サラブレッドクラブ・ラフィアン
202005021202,2017101568,8,3,5,56,菅原隆一,1:40.0,クビ,7-7,39.6,282.8,13,468(-4),[東]小野次郎,佐藤啓子
202005021202,2017103863,9,6,11,53,小林凌大,1:40.6,3.1/2,11-13,39.6,346.4,14,480(+8),[東]土田稔,トウショウ産業
202005021202,2017102130,10,7,13,54,宮崎北斗,1:40.8,1.1/4,9-9,40.1,150.7,10,512(0),[東]萱野浩二,山上和良
202005021202,2017100842,11,8,15,54,伴啓太,1:40.8,ハナ,14-14,39.3,524.3,16,474(-6),[東]高橋義博,北所直人
202005021202,2017101260,12,2,3,56,三浦皇成,1:40.8,ハナ,6-5,40.7,38.8,7,482(0),[東]稲垣幸雄,湘南
202005021202,2017105018,13,1,2,54,石橋脩,1:41.5,4,1-1,41.9,7.0,3,444(0),[東]矢野英一,青山洋一
202005021202,2017100570,14,4,7,54,横山和生,1:41.7,1.1/4,16-16,39.3,168.1,11,470(0),[東]高柳瑞樹,松本好雄
202005021202,2017109041,15,6,12,54,木幡巧也,1:41.9,1.1/2,4-6,41.7,101.3,9,498(+4),[東]伊藤大士,三島宣彦
202005021202,2017106465,16,5,9,56,荻野極,1:42.6,4,14-14,41.1,263.5,12,496(-4),[東]古賀史生,清水正裕
202005021203,2017100067,1,7,13,56,武豊,1:26.7,,10-9,37.4,4.5,2,466(-4),[東]鈴木伸尋,西田俊二
202005021203,2017103158,2,4,8,56,石川裕紀,1:26.8,1/2,5-5,38.5,6.0,3,536(+2),[東]相沢郁,小野建
202005021203,2017101537,3,1,1,56,松山弘平,1:27.2,2.1/2,1-1,39.3,2.4,1,464(+8),[東]竹内正洋,小林竜太郎
202005021203,2017101132,4,2,4,54,吉田豊,1:27.2,ハナ,13-11,37.4,87.2,12,426(-2),[東]古賀史生,海原聖一
202005021203,2017100947,5,8,15,56,的場勇人,1:27.2,ハナ,12-13,36.7,75.6,11,440(-8),[東]伊藤大士,小林秀樹
202005021203,2017100748,6,6,12,56,武藤雅,1:27.3,クビ,2-2,39.4,14.8,7,462(+2),[東]武藤善則,田中晴夫
202005021203,2017103304,7,5,10,56,内田博幸,1:27.7,2.1/2,5-6,39.0,59.1,10,442(0),[東]小手川準,ノルマンディーサラブレッドレーシング
202005021203,2017103776,8,3,6,56,丹内祐次,1:27.9,1,7-6,39.1,12.7,6,496(-6),[東]水野貴広,サラブレッドクラブ・ラフィアン
202005021203,2017106727,9,4,7,56,横山和生,1:28.0,1/2,15-14,37.4,11.6,5,438(+8),[東]勢司和浩,木村廣太
202005021203,2017101103,10,2,3,56,三浦皇成,1:28.0,アタマ,4-4,39.8,9.1,4,452(+10),[東]奥平雅士,バイオ
202005021203,2017104591,11,8,16,56,田中勝春,1:28.0,ハナ,2-3,40.0,39.6,9,474(-4),[東]的場均,森中蕃
202005021203,2017105712,12,1,2,56,嘉藤貴行,1:28.2,1.1/2,8-8,39.1,149.6,13,438(+2),[東]田島俊明,林弘之
202005021203,2017102939,13,7,14,56,木幡巧也,1:29.5,8,10-12,39.2,168.1,14,490(+4),[東]松山将樹,松野真一
